feature,mean_importance
E_G_total_assets_tcgro_4q,-0.006175520915528187
E_G_net_income_inc_agro_1q,-0.00534306456336765
E_G_cost_borrowing_on_tot_cap_ratio,-0.004550573840456829
E_G_net_property_on_rev_ratio,-0.00436961073776414
E_G_cash_financing_on_tot_cap_ratio_sum_E_G_cash_investing_agro_1q,-0.004342140469573796
E_G_net_debt_on_tot_cap_ratio,-0.003969259445385976
E_G_def_tax_assets_on_assets_ratio,-0.003935078366681921
E_G_int_div_income_rgro_4q,-0.003675243294827324
E_G_issuance_stock_on_rev_ratio,-0.0036394578307806123
E_G_cogs_tcgro_1q,-0.0035041614126777644
E_G_ebt_x_unusual_on_tot_cap_ratio,-0.003426288736362104
E_G_def_tax_assets_agro_1q,-0.003137052633336135
E_G_tangible_book_tcgro_1q,-0.00301118400434387
E_G_net_inc_gro_five_agro_4q,-0.0028872150515374282
E_G_net_debt_on_assets_ratio,-0.002771671414405985
E_G_total_debt_on_tot_cap_ratio,-0.002645491306502512
E_G_current_assets_on_assets_ratio,-0.0022126495050363904
E_G_ebitda_rgro_4q,-0.002185774052653544
E_G_working_cap_on_tot_cap_ratio,-0.0021640640566394143
E_G_interest_expense_rgro_4q,-0.002142091727890272
E_G_current_liabilities_tcgro_1q,-0.0020873744163531494
E_G_cash_financing_on_tot_cap_ratio_sum_E_G_depre_amor_agro_1q,-0.002045586641649444
E_G_ebit_on_assets_ratio,-0.002012895426685113
E_G_total_assets_agro_4q,-0.001994868479398304
E_G_total_debt_on_rev_ratio_multiply_E_G_retained_earnings_on_assets_ratio,-0.001835037729850475
E_G_gross_property_on_rev_ratio,-0.0018044429546182571
E_G_effective_tax_rate_on_assets_ratio,-0.0017995166013672237
E_G_tangible_book_on_assets_ratio,-0.0017090483136466105
E_G_ebit_on_rev_ratio,-0.0016489740222459526
E_G_int_div_income_on_tot_cap_ratio,-0.001623524989382541
E_G_int_div_income_tcgro_4q,-0.0015340674627922434
E_G_depre_amor_on_assets_ratio,-0.0015039496675004261
E_G_cost_borrowing_rgro_1q,-0.0014845480363492648
E_G_capex_tcgro_1q,-0.0014649515330454777
E_G_cash_financing_on_tot_cap_ratio_sum_E_G_ammor_intangibles_on_assets_ratio,-0.0014604051803184359
E_G_def_tax_assets_agro_4q,-0.0014486301970229488
E_G_total_debt_agro_4q,-0.0013776031358647023
E_G_ammor_intangibles_rgro_4q,-0.0013375204225513971
E_G_issuance_stock_on_tot_cap_ratio,-0.0013080941816466574
E_G_total_div_on_tot_cap_ratio,-0.0012823964435430546
E_G_interest_expense_on_tot_cap_ratio,-0.0012646019916259577
E_G_inventory_on_assets_ratio,-0.0011617043475016576
E_G_cash_financing_tcgro_4q,-0.0011522321065568718
E_G_current_assets_on_rev_ratio,-0.0011425402931531492
E_G_common_equity_agro_4q,-0.0011398219597284153
E_G_total_expenses_rgro_1q,-0.0011094544094382374
E_G_cash_financing_on_tot_cap_ratio_sum_E_G_total_div_rgro_1q,-0.0010761178208997467
E_G_ebt_x_unusual_rgro_4q,-0.0010241758117762068
E_G_total_liabilities_tcgro_1q,-0.0009679864425167883
E_G_assets_gro_five_on_tot_cap_ratio,-0.0009363709770797146
E_G_cash_financing_on_tot_cap_ratio,-0.000924606691457841
E_G_net_income_inc_on_assets_ratio,-0.0008914011472530015
E_G_sga_rgro_4q,-0.0008796731548714853
E_G_cost_borrowing_tcgro_1q,-0.0008741024048054991
E_G_cost_borrowing_on_rev_ratio,-0.0008681556890143716
E_G_def_tax_assets_tcgro_4q,-0.0008533422690301772
E_G_current_assets_on_rev_ratio_ratio_E_G_cash_equi_on_tot_cap_ratio,-0.0008444834617385766
E_G_current_assets_tcgro_4q,-0.0008436118524110415
E_G_effective_tax_rate_on_tot_cap_ratio,-0.0008180358043815672
E_G_payables_agro_4q,-0.0007733889705733521
E_G_inventory_rgro_4q,-0.0006891799384066477
E_G_cash_equi_on_rev_ratio,-0.0006659732282276676
E_G_current_liabilities_agro_1q,-0.0006635596342288608
E_G_net_inc_gro_five_on_assets_ratio,-0.0006134375909536138
E_G_ebt_x_unusual_on_rev_ratio,-0.0006058776907427177
E_G_current_assets_on_tot_cap_ratio,-0.0005927706933055776
E_G_asset_writedown_on_rev_ratio,-0.0005442295581813306
E_G_cash_equi_on_assets_ratio,-0.0005395967671948942
E_G_tax_expense_rgro_4q,-0.0005193025589765754
E_G_depre_amor_rgro_1q,-0.0005091554012453203
E_G_other_expenses_tcgro_1q,-0.00042113762246709374
E_G_tax_expense_tcgro_4q_diff_E_G_cash_financing_on_tot_cap_ratio,-0.0003938930880996283
E_G_int_div_income_agro_1q,-0.00036834840604693664
E_G_operating_income_on_tot_cap_ratio,-0.00035345427536985773
E_G_shares_out_on_rev_ratio,-0.00034200865161219116
E_G_ops_expenses_tcgro_4q,-0.0003357039698184683
E_G_current_liabilities_on_rev_ratio,-0.00032687143583634006
E_G_retained_earnings_rgro_4q,-0.0003219877589062503
E_G_net_inc_gro_five_rgro_4q,-0.0002999986645621178
E_G_minority_int_agro_1q,-0.0002874367686644508
E_G_cash_acquisitions_on_rev_ratio,-0.0002728575193825855
E_G_cogs_agro_4q,-0.00024108904597955894
E_G_restructuring_charges_on_tot_cap_ratio,-0.0002388579788675127
E_G_norm_net_inc_rgro_4q,-0.00023306884374491021
E_G_depre_amor_on_rev_ratio,-0.00022679141944980107
E_G_total_assets_on_tot_cap_ratio,-0.0002246904347244616
E_G_restructuring_charges_tcgro_4q,-0.0001707783998649015
E_G_depre_amor_agro_4q,-0.0001324902212682444
E_G_total_intangibles_on_tot_cap_ratio,-0.00013244590430313563
E_G_current_assets_agro_1q,-6.578938243185783e-05
E_G_pref_div_on_rev_ratio,-4.65592339759513e-05
E_G_quick_ratio_rgro_1q,-4.0084166864595706e-05
E_G_def_tax_liability_tcgro_4q,1.1887159339585285e-05
E_G_norm_net_inc_on_tot_cap_ratio,2.5108038962140532e-05
E_G_interest_expense_on_assets_ratio,2.9080060377895123e-05
E_G_net_debt_on_rev_ratio,3.294077694552255e-05
E_G_ammor_intangibles_agro_4q_diff_E_G_cash_financing_on_tot_cap_ratio,5.1726336256185947e-05
E_G_total_capital_agro_1q,7.758593448502493e-05
E_G_net_inc_gro_five_agro_1q,7.785237319649641e-05
E_G_ammor_intangibles_tcgro_1q,8.828011641073274e-05
E_G_sga_tcgro_4q,0.00012791629995920762
E_G_total_div_rgro_1q,0.00012849158275598515
E_G_ops_expenses_on_assets_ratio,0.00012942041525828562
E_G_common_equity_on_assets_ratio,0.00013035106205769865
E_G_tax_expense_on_tot_cap_ratio,0.00013564535728236571
E_G_cash_investing_on_tot_cap_ratio,0.0001394554630838929
E_G_minority_int_rgro_4q,0.0001598954201094127
E_G_def_tax_assets_rgro_4q,0.00016037740397413237
E_G_minority_int_on_rev_ratio,0.00018301662142855557
E_G_inventory_tcgro_1q,0.0002075653739969763
E_G_tax_expense_agro_4q,0.00021281027481889758
E_G_payables_agro_1q,0.00024174183052211307
E_G_total_div_tcgro_4q_diff_E_G_cash_financing_on_tot_cap_ratio,0.0002645008234304358
E_G_def_tax_liability_on_tot_cap_ratio,0.00027676273126532315
E_G_unusual_items_agro_1q,0.0002928105146758453
E_G_repurchase_stock_agro_4q,0.00029704188272424716
E_G_assets_gro_five_rgro_4q,0.00034960527000466035
E_G_pref_div_on_tot_cap_ratio,0.0003522856723397583
